OBJECTID,Plant_Name,Owner,Operator,State,County,City,ZipCode,Cap_MMcfd,Plant_Flow,BTU_Content,Dry_Stor,NGL_Stor,Longitude,Latitude,Period,Source,Loc_Source,x,y
113,Desoto Gas Plant,,"Vernon E. Faulconer, Inc.",LA,Desoto,,,1.007,0.775,1040,,714,-94.01855,32.16002,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10466097.1111,3784334.1164
114,Dollarhide Gas Plant,Chevron Production Company,Chevron Production Company,TX,Andrews,Andrews County,79714,56,56,,0,7000,-103.05667,32.14694,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11472216.0273,3782614.2782
115,Dorcheat Gas Processing Plant,"Bonanza Creek Energy, Inc.","Bonanza Creek Energy, Inc.",AR,Columbia,Magnolia,71753,12,11,1188,,3857,-93.3318,33.19003,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10389648.4508,3920554.5167
116,Douglas Plant,Tallgrass Energy Midstream LLC,Tallgrass Energy Midstream LLC,WY,Converse,Douglas,82633,130,63,1193,,15650,-105.35664,42.79074,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11728247.5165,5280174.3878
117,Dover-Hennessey Gas Plant,Mustang Ventures Company,"Mustang Gas Products, LLC",OK,Kingfisher,Hennessey,73742,80,42,1185,,1150,-97.9025,36.07194,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10898456.4474,4310524.7255
118,Dragon Trail Gas Processing Facility,Utah Gas Op Ltd,Utah Gas Corp,CO,Rio Blanco,Rangely,81648,60,55,,,6400,-108.80758,39.82875,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-12112404.4,4841087.8133
119,Dry Creek Plant,"Saga Petroleum, LLC","Saga Petroleum, LLC",MT,Carbon,Bridger,59014,4,1,1190,,1400,-109.12667,45.25986,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-12147925.3364,5662524.3184
120,Dry Trail,Breitburn Operating LP,"Breitburn Operating, L.P.",OK,Texas,Guymon,73942,100,93,1007,,1710,-101.61673,36.9058,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11311922.6397,4425984.6431
121,Dubach Gas Plant,ETC Field Services LLC,ETC Field Services LLC,LA,Lincoln,Dubach,71235,165,150,1133,,3400,-92.66222,32.68944,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10315111.1462,3854154.4966
122,Dubberly Plant,ETC Field Services LLC,ETC Field Services LLC,LA,Webster,Dubberly,71024,380,135,1120,,4129,-93.18586,32.50542,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10373402.4843,3829839.246
123,Eagle Plant,"DCP Operating Company, LP","DCP Operating Company, LP",TX,Jackson,Jackson,77957,200,150,1275,,1238,-96.65097,29.13908,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-10759136.7651,3393359.7398
124,East Texas,"DCP Operating Company, LP","DCP Operating Company, LP",TX,Panola,Carthage,75631,720,400,1175,,185000,-94.26188,32.18788,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-10493184.4828,3787998.1423
125,East Texas (Avinger),Enbridge G & P (East Texas) L.P.,Enbridge G & P (East Texas) L.P.,TX,Marion,Avinger,75630,85,65,1080,,4000,-94.5887,32.86324,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10529565.9188,3877165.398
126,East Toyah Gas Plant,"EagleClaw Midstream Ventures, LLC","EagleClaw Midstream Ventures, LLC",TX,Reeves,Pecos,79772,440,300,1250,,4500,-103.67417,31.36833,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-11540955.8128,3680676.7599
127,East Vacuum Liquid Recovery Plant,ConocoPhillips,ConocoPhillips,NM,Lea,Lovington,88260,45,24,1027,,1355,-103.46041,32.79485,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11517160.1585,3868105.2834
128,East Vealmoor Gas Plant,West Texas Gas Processing LP,West Texas Gas Processing LP,TX,Howard,Coahoma,79511,45,22,1267,,750,-101.35176,32.49659,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11282426.3142,3828673.7586
129,Eaton Plant,"DCP Operating Company, LP","DCP Operating Company, LP",CO,Weld,Eaton,80631,11,10,1175,,1140,-104.75717,40.53094,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11661514.8213,4943399.6764
130,Echo Springs Gas Plant,Williams,"Williams Midstream Services, LLC",WY,Carbon,Wamsutter,82336,745,480,,,,-107.82401,41.6467,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-12002913.8885,5108202.8591
131,Elba Mini Plant,"JP Oil Company, LLC","JP Oil Company, LLC",LA,St. Landry,Mellville,71533,3,2,,,952,-91.79556,30.75611,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10218634.9963,3601115.7255
132,Electra Plant,Layline North Texas LLC,Layline Energy I LLC,TX,Wilbarger,Electra,76360,1,1,,,1429,-98.96891,34.04329,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11017168.6656,4034616.2977
133,Elk Basin Gasoline Plant,Encore Energy Partners Operating LLC,Encore Energy Partners Operating LLC,WY,Park,Powell,82435,13,12,340,,,-108.84269,44.97966,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-12116312.8274,5618319.9377
134,Elm Grove Plant,ETC Field Services LLC,ETC Field Services LLC,LA,Bossier,Haughton,71037,200,155,1070,,2700,-93.56444,32.36111,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10415545.8172,3810805.8269
135,Elmore City Gas Plant,Cimarex Energy Co.,,OK,Garvin,Elmore City,73433-9163,26,11,1303,,106,-97.43806,34.56306,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10846755.2231,4104660.1443
136,Emigrant Trail Gas Plant,"Green River Processing, LLC","Green River Processing, LLC",WY,Uinta,Lyman,82937,55,32,1124,,2800,-110.08967,41.39687,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-12255126.006,5071057.3181
137,Enbridge G&P (North Texas) Springtown Plant,Enbridge,Enbridge,TX,Parker,Springtown,76082,,,,,,-97.6836,32.98473,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10874088.6109,3893277.3016
138,Enbridge G&P (North Texas) Weatherford Plant,Enbridge,Enbridge,TX,Parker,Weatherford,76088,70,65,1257,,430,-97.87731,32.73387,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10895652.3094,3860032.6997
139,ETC Kenedy Plant,"ETC Texas Pipeline, Ltd.",Energy Transfer Company,TX,Karnes,Karnes City,78118,410,370,1277,,,-98.01186,28.75175,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-10910630.3469,3344087.1562
140,Eunice,"DCP Operating Company, LP","DCP Operating Company, LP",NM,Lea,,88240,105,95,1250,,4000,-103.14833,32.42583,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-11482419.5718,3819338.1482
141,Eunice Plant,,"Enlink Processing, LLC",LA,Acadia Parish,Eunice,70535,500,340,1036,,66577,-92.53167,30.46056,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10300578.3867,3562888.9775
142,Fain Gas Plant,,,TX,Potter,Masterson,79058,50,35,1400,,3048,-101.89556,35.53806,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11342961.8533,4237243.8959
143,Fairplay-Duncan Gas Processing Plant,Enterprise Gathering LLC,Enterprise Gathering LLC,TX,Rusk,Henderson,75652,40,30,1097,,714,-94.83721,32.08185,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10557229.9255,3774059.5135
144,Fairway Gas Plant,Exxon,"Vanguard Natural Resourses, Inc.",TX,Henderson,Poynor,75782,88,40,1086,,1083,-95.5823,32.0859,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10640172.9648,3774591.6262
145,Fort Beeler,Williams Partners LP,Williams Partners LP,WV,Marshall,Cameron,26033,520,280,1212,,19285,-80.59122,39.87752,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-8971373.5728,4848159.7499
146,Fort Union Medicine Bow Treating Facility,Crestone Energy Ventures LLC,"Western Gas Partners, LP",WY,Converse,Douglas,82633,340,111,953,,,-105.62047,42.78799,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11757616.9377,5279757.237
147,Fox Plant,"DCP Operating Company, LP","DCP Operating Company, LP",OK,Carter,Healdton,73438,24,18,1050,,1450,-97.51081,34.34867,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10854853.716,4075716.5288
148,Fraser 8,"Breitburn Operating, L.P.","Breitburn Operating, L.P.",MI,Bay,Pinconning,48650,2,2,,,,-84.01813,43.79656,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-9352855.449,5434013.1611
149,Ft. Lupton Plant,Kerr McGee Gathering LLC,Kerr McGee Gathering LLC,CO,Weld,Ft. Lupton,80621-9421,160,148,1311,,7850,-104.75101,40.1429,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11660829.0933,4886729.8992
150,Garden Creek Natural Gas Processing Plant,ONEOK,ONEOK,ND,McKenzie,Watford City,58854,300,300,1450,,28100,-103.17949,47.84953,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11485888.2871,6081858.3953
151,Garland Gas Plant,Merit Energy Company,Merit Energy Company,WY,Park,Byron,84212,4,1,1090,,572,-108.55414,44.79622,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-12084191.5883,5589497.3437
152,Gibson Plant,,"Enlink LIG Liquids, LLC",LA,Terrabone Parish,Gibson,70356,110,84,1082,,,-90.96408,29.64288,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10126075.0661,3457727.4992
153,Gilcrest Plant,AKA Energy,AKA Eenergy Group,CO,Weld,Platteville,80651,23,22,1257,,1857,-104.80208,40.27447,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11666514.1797,4905908.0426
154,Gillis Gas Plant,Targa Field Services LLC,Targa Field Services LLC,LA,Calcasieu,Lake Charles,70615,180,164,1113,,11280,-93.15694,30.27333,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10370183.1247,3538732.4732
155,Gilmore Natural Gas Plant,Enterprise Hydrocarbons L.P.,Enterprise Hydrocarbons L.P.,TX,Hidalgo,Edinburg,78541,265,225,1140,,900,-98.34559,26.42119,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10947781.0006,3051341.3426
156,Glenpool (Creek) Plant,Kinder Morgan (Scissortail Energy LLC),Kinder Morgan (Scissortail Energy LLC),OK,Jenks,Tulsa,74033,25,4,1146,,1500,-95.97475,35.96764,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10683860.299,4296169.599
157,Godley gas Plant,Energy Transfer partners,Energy transfer partners,TX,Johnson,Godley,76044,700,350,1280,,10000,-97.5536,32.49845,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10859617.0771,3828919.2538
158,Goforth Plant,,"Enlink Texas Processing, LP",TX,Parker,Fort Worth,76126,30,20,1213,15,75,-97.55716,32.59539,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10860013.3744,3841721.0794
159,Goldsmith,"DCP Operating Company, LP","DCP Operating Company, LP",TX,Ector,Goldsmith,79741,160,165,1325,,9000,-102.63451,31.98098,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11425221.391,3760814.2154
160,Goliad Gas Plant,"DCP Operating Company, LP","DCP Operating Company, LP",TX,Goliad,Berclair,78710,230,177,1277,,,-97.63975,28.61726,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-10869207.2512,3327021.4166
161,Gomez Plant,ETC Field Services LLC,ETC Field Services LLC,TX,Pecos,Fort Stockton,79735,84,80,950,,,-102.97861,30.98753,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11463526.4278,3631129.7824
162,Goose Lake Gas Plant,Dart Oil & Gas Corporation,Dart Oil & Gas Corp,MI,Osceola,Leroy,49655,2,,1134,,607,-85.4091,44.1106,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-9507697.5211,5482573.7712
163,Gordon,Enbridge G&P North Texas L.P,"Enbridge G & P (North Texas), L.P.",TX,Palo Pinto,Gordon,76453,40,35,1250,,3600,-98.33814,32.5395,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10946951.6704,3834338.5996
164,Grand Cheniere,"Kinetica Partners, LLC","Kinetica Partners, LLC",LA,Cameron,Grand Chenier,70643,130,26.082,1079,0,0,-92.96083,29.76444,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10348352.2593,3473306.5961
165,Granger Gas Plant,"Mountain Gas Resources, LLC",Anadarko Petroleum,WY,Sweetwater,Green River,82935,500,296,1092,,22300,-109.9556,41.5398,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-12240201.4019,5092291.0593
166,Grasslands Natural Gas Processing Plant,ONEOK,ONEOK,ND,McKenzie,Alexander,58831,85,68,1340,,31738,-103.99709,47.59125,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11576903.1028,6039120.8062
167,Gravel Point,Aethon United Pipeline LP,Aethon Energy Operating LLC,LA,DeSoto,Frierson,71027,0,0,,,,-93.63948,32.23687,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10423899.2317,3794443.8149
168,Gray County Plant,ETC Field Services LLC,ETC Field Services LLC,TX,Gray,Pampa,79065,20,15,1600,,4300,-101.03617,35.51075,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11247294.9961,4233508.4806
169,Greeley Gas Plant,Crimson Resource Management Corp,Crimson Resource Management Corp,CA,Kern,Bakersfield,93309,0.7,0.45,1200,0,238,-119.14178,35.43065,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-13262802.2818,4222559.8593
170,Greeley Plant,"DCP Operating Company, LP","DCP Operating Company, LP",CO,Weld,Evans,80620,27,25,1175,,17150,-104.72967,40.36428,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11658453.5353,4919020.5242
171,Grey Badger,"Midstream Energy Services, LLC","Midstream Energy  Services, LLC",TX,Carson,Panhandle,79068,25,8,1363,,2800,-101.40753,35.51399,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11288634.6022,4233951.5758
172,Grunder Run Plant,"KCS Energy, Inc","KCS Energy, Inc.",PA,Warren,Warren,16365,2,1,1360,,1428,-79.10058,41.81505,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-8805436.2871,5133314.9668
173,Gulf Plains Gas Plant,"DCP Operating Company, LP","DCP Operating Company, LP",TX,Nueces,Bishop,78343,170,143,1200,,3475,-97.90256,27.68677,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10898463.1266,3209539.7424
174,Halley,ETC Field Services LLC,Energy Transfer Company,TX,Winkler,Kermit,79745,107,90,1129,,169,-102.9929,31.7302,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11465117.1833,3727947.0562
175,Hamlin,ETC Field Services LLC,ETC Field Services LLC,TX,Fisher,Hamlin,79520,6,5,1380,,570,-100.26539,32.86721,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11161492.159,3877691.5468
176,Harbor City,,"Brea Canon Oil Co., Inc.",CA,Los Angeles,Harbor City,90710-1400,,,,,,-118.2987,33.80734,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-13168951.0455,4002961.7393
177,Harley Dome Plant,"Red Rock Gathering Company, LLC","Red Rock Gathering Company, LLC.",UT,Grand County,,81505,30,14,1098,,714,-109.11762,39.20148,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-12146917.895,4750573.0829
178,Harrah Plant,Kinder Morgan (Scissortail Energy LLC),Kinder Morgan (Scissortail Energy LLC),OK,Lincoln,Harrah,73045,40,32,1250,,29525,-97.18644,35.51506,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10818745.0128,4234097.9106
179,Hastings Extraction Plant,"Dominion Gathering and Processing, Inc.","Dominion Energy Transmission, Inc.",WV,Wetzel,Pine Grove,26419,180,147,1231,,37979,-80.67772,39.55145,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-8981002.7088,4800972.7143
180,Hatter`s Pond,,Hilcorp Energy Co.,AL,Mobile,Creola,36525,70,8,1295,,15000,-88.06681,30.89158,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-9803552.445,3618676.7328
181,Hawkins Gas Plant,"XTO Energy, Inc.","XTO Energy, Inc.",TX,Wood,Hawkins,75765,180,159,351,,900,-95.19667,32.61167,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10597244.8296,3843872.3615
182,Hay Butte,Caliber North Dakota LLC,Caliber North Dakota LLC,ND,McKenzie,Alexander,58831,10,4.969,1170,,5000,-103.5488,47.76333,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11526999.6883,6067571.3075
183,Hay Canyon Treatment Facility,Caerus Piceance LLC,,CO,Garfield,Loma,81524,20,3,1070,,1428,-108.74573,39.49955,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-12105519.2895,4793482.5394
184,"Hemphill (C, D & E)",Superior Pipeline Corporation,Superior Pipeline Corporation,TX,Hemphill,Canadian,79014,275,195,,,800,-100.38863,35.76874,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-11175211.173,4268846.8332
185,Hemphill Plant,ETC Field Services LLC,ETC Field Services LLC,TX,Hemphill,Canadian,79014,50,48,1254,,2143,-100.35435,35.83981,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11171395.1409,4278601.803
186,Henderson,Enbridge G & P (East Texas) L.P.,Enbridge G & P (East Texas) L.P.,TX,Rusk,Henderson,75654,280,115,1090,,600,-94.87806,32.15889,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10561777.3267,3784185.5273
187,Hereford Ranch Plant,"Summit Midstream Partners, LLC","Meadowlark Midstream Company, LLC",CO,Weld,Hereford,80729,20,13,1250,,329,-104.39271,40.98127,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11620943.3197,5009579.3855
188,Hickory Bend,"Columbia Pennant, LLC",TransCanada/Columbia Midstream,OH,Mahoning,New Middletown,44442,200,95,1242,1,4500,-80.52151,40.9645,2017,"EIA-757, Natural Gas Processing Plant Survey",Internet Reearch,-8963613.4911,5007106.8312
189,Hidetown Plant,Enbridge Pipelines (Texas Gathering) L.P.,Enbridge Pipelines (Texas Gathering) L.P.,TX,Wheeler,Wheeler,79096,132,3,1121,,833,-100.39561,35.46413,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11175988.1831,4227134.8105
190,High Plains Plant,Targa Resources,,TX,Midland,Midland,79706,200,171,1260,0,837,-101.78981,31.85336,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-11331189.8171,3744077.203
191,Hilight Complex,"Western Gas Partners, LP","Western Gas Partners, LP",WY,Campbell,Gillette,82718,60,52,1385,,13725,-105.36245,43.84205,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11728894.2827,5441031.5043
192,Hobart Cryo Plant,Enbridge Pipelines (Texas Gathering) L.P.,Enbridge Pipelines (Texas Gathering) L.P.,TX,Hemphill,Canadian,79014,35,,,,1000,-100.33968,35.69287,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11169762.084,4258442.6369
193,Hobart Ranch Gas Plant,Enbridge Pipelines (Texas Gathering) L.P.,Enbridge Pipelines (Texas Gathering) L.P.,TX,Hemphill,Canadian,79014,125,0,,,,-100.39603,35.74717,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11176034.9373,4265887.8898
194,Hobbs Cryogenics Plant,"DCP Operating Company, LP","DCP Operating Company, LP",NM,Lea,Hobbs,88240,42,20,1125,,80,-103.30722,32.70556,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11500107.1257,3856286.8756
195,Hopeton,"SenGas, LP","SemGas, LP",OK,Woods,Dacoma,73731,140,80,1158,,,-98.6383,36.6823,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-10980365.3287,4394915.5381
196,Houston Central Plant,Copano Processing LLC,Copano Processing LLC,TX,Colorado,Sheridan,77475,1000,707,,,24608,-96.62299,29.46976,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10756022.0457,3435572.9073
197,Houston Plant,MarkWest Liberty Midstream & Resources,MarkWest Liberty Midstream & Resources,PA,Washington,Washington,15301,520,495,1269,,,-80.2571,40.26311,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-8934179.5045,4904250.6961
198,Huckabay,Enbridge G&P North Texas L.P,"Enbridge G & P (North Texas), L.P.",TX,Erath,Stephenville,76401,20,19,1220,,1833,-98.38422,32.31411,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10952081.2725,3804613.4386
199,Huntsville Gas Plant,Copano Processing LLC,Copano Processing LLC,TX,Walker,Huntsville,77320,15,5,1170,,4285,-95.59302,30.81986,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-10641366.3098,3609376.5667
200,Hurricane Gas Processing Plant,"Tulsa Hurricane, LLC",Elkhorn Gas Processing,WV,Putnam,Hurricane,25526,10,4,1250,,2429,-82.00417,38.40001,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-9128662.4473,4636088.9476
201,Ignacio Gas Plant,Williams,"Williams Midstream Services, LLC",CO,LaPlata,Durango,81303,595,407,1099,,38850,-107.78501,37.14306,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11998572.4283,4459066.3101
202,Indian Basin Gas Plant,Oxy Usa Wtp LP,Oxy Permian Resources - Delaware Basin,NM,Eddy,Lakewood,88254,300,64,1260,0,5000,-104.57056,32.46667,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11640741.4912,3824725.415
203,Indian Creek Gas Plant,Crestwood Panhandle Pipeline LLC,Crestwood Panhandle Pipeline LLC,TX,Roberts,Pampa,79065,36,23,1260,,1109,-100.82746,35.89962,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11224061.5052,4286818.0149
204,Indian Mound,"Advance NGL, Inc.","Advance NGL, Inc.",TX,Young,Graham,76450,1,1,,,1429,-98.64313,33.05416,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10980903.0019,3902495.006
205,Indian Springs Gas Plant,"TECO Gas Processing, LLC",Enterprise Products Operating LLC,TX,Polk,Livingston,77351,146,125,1160,,1068,-94.70286,30.75692,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10542274.1519,3601220.6525
206,Indian Village Plant,"JP Oil Company, LLC","JP Oil Company, LLC",LA,Allen,Reaves,70658,3,2,,,714,-93.00222,30.48139,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10352959.773,3565579.3386
207,Jackson Plant,"ETC Texas Pipeline, Ltd.",Energy Transfer Company,TX,Jackson,Ganado,77962,800,690,1267,,10714,-96.53764,29.10957,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-10746520.9272,3389599.246
208,Jal #3 Plant,ETC Field Services LLC,ETC Field Services LLC,NM,Lea,Jal,88252,110,95,,,6680,-103.17361,32.17417,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11485233.7285,3786194.9227
209,Jameson Plant,WTG Jameson LP,West Texas Gas Processing LP,TX,Coke,Silver,76949,60,58,1349,,750,-100.68229,32.0491,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11207901.2547,3769757.4922
210,Jayhawk Gas Plant,Linn Energy,Linn Energy,KS,Grant,Ulysses,67880,450,250,1000,,,-101.12244,37.55921,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11256898.5286,4517342.7502
211,Joaquin Plant,Enable Midstream Partners,Enable Midstream Partners,TX,Shelby,Joaquin,75954,40,5,1070,,1191,-94.05894,31.91107,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10470593.3054,3751642.8353
212,Kalkaska Gas Processing,Merit Energy Company,,MI,Kalkaska,Kalkaska,49680,75,32,1099,0,42000,-85.19667,44.69001,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-9484049.9217,5572851.211
213,Kane Gas Plant,Kane GPP LP,Elkhorn Gas Processing,PA,McKean,Kane,16735,12,5,1293,,3035,-78.76281,41.67731,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-8767835.9026,5112763.9417
214,Kaplan Plant,"PSI Midstream Partners, LP","PSI Midstream Partners, LP",LA,Vermilion,Abbeville,70510,200,120,1100,,1000,-92.28193,29.88113,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10272777.457,3488279.3462
215,Kastler Dew Point Plant,Dominion Energy Questar Pipeline,Dominion Energy Questar Pipeline,UT,Daggett,Dutch John,84023,300,9,1046,,2143,-109.39095,40.92909,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-12177344.8514,5001888.0746
216,Kelton Gas Plant,Kelton Gas Services LLC,Durango Midstream,TX,Wheeler,Wheeler,79096,90,32,1200,,1200,-100.11389,35.43778,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11144627.2561,4223533.995
217,Kenova,"Markwest Energy Partners, L.P.","Markwest Energy Partners, L.P.",WV,Kanawha,Kenova,25045-0932,160,108,1220,,13600,-82.59139,38.37278,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-9194031.4787,4632221.7984
218,Kensington,Utica East Ohio Midstream LLC,Utica East Ohio Midstream LLC,OH,Columbiana,Kensington,77002,750,501,1240,,9200,-80.92372,40.73696,2017,"EIA-757, Natural Gas Processing Plant Survey",Internet Reearch,-9008387.3035,4973620.4015
219,Keota Gas Plant,Noble Energy,Noble Midstream Services,CO,Weld,Briggsdale,80611,30,30,1450,,2857,-104.22037,40.74044,2017,"EIA-757, Natural Gas Processing Plant Survey",EPA,-11601758.5187,4974131.6791
220,Kermit,"Core Appalachia Operating, LLC","Core Appalachia Operating, LLC",WV,Mingo,Kermit,25674,32,18,1268,,714,-82.40882,37.83857,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-9173707.8793,4556646.2006
221,Keystone,ETC Field Services LLC,ETC Field Services LLC,TX,Winkler,Kermit,79745,100,100,1200,0,500,-103.04417,31.94556,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-11470824.5336,3756166.6507
222,Keystone Gas Plant,Elkhorn Holdings,Elkhorn Gas Processing,PA,Warren,Clarendon,16735,10,3,1293,,2064,-79.12536,41.81944,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-8808194.784,5133970.6877
223,Keystone Plant,MarkWest Liberty Midstream & Resource,MarkWest Liberty Midstream & Resources,PA,Butler,Evans City,16033,410,117,1219,,55571,-80.0799464,40.8052444,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-8914458.856,4983657.5594
224,King Ranch Gas Plant,"ETC Texas Pipeline, Ltd.","ETC Texas Pipeline, Ltd.",TX,Kleberg,Kingsville,78363,650,375,1170,,140000,-98.05583,27.46806,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10915525.0649,3182072.3579
225,Kingfisher,"DCP Operating Company, LP","DCP Operating Company, LP",OK,Kingfisher,Cashion,73016,170,115,1200,,3600,-97.74498,35.78951,2017,"EIA-757, Natural Gas Processing Plant Survey",HIFLD,-10880921.4012,4271696.7922
