ID,SOURCE,BLM ID,USGS ID,ALASKA_QUAD_NAMES,API,WELL NAME,LAT,LONG,FIELD,STATE,COUNTY,HE,CO2,H2,N2,H2S,AR,O2,C1,C2,C3,N-C4,I-C4,N-C5,I-C5,C6+,BTU,FORMATION,AGE,DEPTH,FINAL_DRILLING_DATE,FINAL_SAMPLING_DATE,PUBLICATION DATE,SAMPLE DATE BEFORE COMPLETION
35361,BLM,85,,,,GUINN NO. 1,,,SIPE SPRINGS,TEXAS,COMANCHE,0.1,,,3.5,,,0.7,79,16.7,,,,,,,1100,MARBLE FALLS,PENNSYLVANIAN,2770,2/20/1920,2/27/1920,,
35362,BLM,87,,,42133042150000,ERNEST NO. 1A,32.4622,-98.7926,EASTLAND,TEXAS,EASTLAND,0.07,,,,,,,,,,,,,,,,STRAWN,PENNSYLVANIAN,1535,8/26/1919,3/1/1920,,
35363,BLM,88,,,42133042250000,JIM HARRELL NO. 1,32.3413,-98.4878,EASTLAND,TEXAS,EASTLAND,0.08,,,3.3,,,,87.4,9.2,,,,,,,1050,STRAWN,PENNSYLVANIAN,1780,10/19/1919,3/1/1920,,
35364,BLM,90,,,,SKELLEY NO. 8,33.9695,-98.2095,PETROLIA,TEXAS,CLAY,0.9,0.3,,31.1,,,0.5,56.8,10.3,,,,,,,760,CISCO,PENNSYLVANIAN,,,2/27/1920,1951,
35365,BLM,91,,,,JOHN BOYER II IN 8,37.8027651,-96.9078597,EL DORADO,KANSAS,BUTLER,1.2,,,,,,,,,,,,,,,,,PENNSYLVANIAN,1185,,8/27/1918,,
35366,BLM,93,,,3503300756,S. L. NO. 1,34.42732,-98.30469,WALTERS,OKLAHOMA,COTTON,0.11,0.1,,3.5,,,0.8,90.5,5,,,,,,,1006,CISCO,PENNSYLVANIAN,2200,06/00/1919,10/14/1919,,
35367,BLM,94,,,,MAIZE FORK NO. 2,34.4128688,-98.2873676,WALTERS,OKLAHOMA,COTTON,,0.2,,4,,,1.1,90.8,3.9,,,,,,,990,CISCO,PENNSYLVANIAN,2100,,10/14/1919,,
35368,BLM,95,,,,GRASE FARM NO. 1,34.4274483,-98.2003265,WALTERS,OKLAHOMA,COTTON,0.17,0.4,,0.7,,,0.6,98.1,,,,,,,,994,CISCO,PENNSYLVANIAN,2100,,10/14/1919,,
35369,BLM,96,,,,NO. 1,36.7750,-96.7155,BURBANK,OKLAHOMA,OSAGE,0.45,,,20.2,,,0.2,52.7,26.6,,,,,,,1011,OSWEGO,PENNSYLVANIAN,1800,08/00/1919,2/7/1920,1951,
35370,BLM,97,,,,NO. 1,36.6732714,-96.5915629,BURBANK,OKLAHOMA,OSAGE,0.6,,,,,,,,,,,,,,,,,,1750,12/00/1919,2/7/1920,,
35371,BLM,98,,,3511306223,MCCOY RICHARD 1 (31),36.7438049,-96.0456553,BARTLESVILLE-DEWEY,OKLAHOMA,OSAGE,,2.9,,3.5,,,0.5,93,,,,,,,,942,,PENNSYLVANIAN,1750,00/00/1917,2/9/1920,,
35044,BLM,204,,,,LERETTE NO. 4,29.4377974,-90.5782101,HOUMA,LOUISIANA,TERREBONNE,,0.2,,,,,10.1,37.9,0.6,,,,,,,395,,,2400,00/00/1917,4/5/1920,,
35045,BLM,206,,,,JAMES NO. 1,37.071393,-95.588220,COFFEYVILLE,KANSAS,MONTGOMERY,0.05,0.3,,0.8,,,0.4,98.4,,,,,,,,997,,,,,4/14/1920,,
35046,BLM,207,,,,ALLMAN NO. 2,37.567540,-95.971194,NEW ALBANY,KANSAS,ELK,0.58,0.6,,21.7,,,0.6,70.5,5,,,,,,,804,,PENNSYLVANIAN,495,03/00/1920,4/9/1920,,
35047,BLM,208,,,,POWELL NO. 7,37.071735,-95.589656,COFFEYVILLE,KANSAS,MONTGOMERY,0.02,,,1.5,,,0.2,98.2,,,,,,,,995,,,716,02/00/1920,4/14/1920,,
35048,BLM,210,,,42375002800000,MASTERSON NO. 1,35.574737,-101.901512,PANHANDLE W,TEXAS,POTTER,0.8,,,10.9,,,0.7,73.4,14,,,,,,,994,LIME,PERMIAN,2000,11/00/1918,4/15/1920,,
35049,BLM,211,,,,MASTERSON NO. 2,35.575642,-101.917523,PANHANDLE W,TEXAS,POTTER,0.27,0.1,,10.3,,,0.4,77.7,11.2,,,,,,,988,LIME,PERMIAN,1600,06/00/1919,4/15/1920,,
35050,BLM,212,,,42375004730000,MASTERSON NO. 3,35.572892,-101.889041,PANHANDLE W,TEXAS,POTTER,0.49,,,7.7,,,0.5,74.5,16.8,,,,,,,1056,LIME,PERMIAN,1600,7/1/1919,4/15/1920,,
35051,BLM,214,,,42375004550000,RANCH CREEK NO. 1,35.5362,-101.8790,PANHANDLE W,TEXAS,POTTER,0.6,,,11,,,0.4,72.3,15.6,,,,,,,1012,BLUE GRANITE,PERMIAN,2363,,4/16/1920,1951,
35052,BLM,215,,,15019701530000,SWISHER NO. 1,37.2839462,-96.4012675,MOLINE,KANSAS,CHAUTAUQUA,0.72,,,19.6,,,0.3,74.4,4.9,,,,,,,841,,PENNSYLVANIAN,1450,03/00/1920,4/15/1920,1951,
35053,BLM,216,,,,WOLF NO. 1,37.294636,-96.390026,MOLINE,KANSAS,ELK,,0.2,,18.6,,,0.5,75.1,5.5,,,,,,,859,,PENNSYLVANIAN,1500,02/00/1919,4/15/1920,1951,
35054,BLM,217,,,15059711470000,BEN WASH NO. 3,38.5535632,-95.1353778,PEORIA,KANSAS,FRANKLIN,,0.7,,1,,,0.5,97.8,,,,,,,,991,,PENNSYLVANIAN,629,10/00/1916,4/22/1920,,
35055,BLM,218,,,15059709910000,F. DETWEILER NO. 1,38.58638,-95.1464803,PEORIA,KANSAS,FRANKLIN,0.17,0.5,,0.1,,,0.7,98.5,,,,,,,,998,,PENNSYLVANIAN,719,07/00/1916,4/23/1920,,
35056,BLM,196,,,,HURD NO. 1,32.0413981,-93.5512362,DE SOTO,LOUISIANA,DE SOTO,,0.2,,3.9,,,0.5,95.4,,,,,,,,966,BLUE GAS SAND,,2610,11/1/1912,4/10/1920,1951,
35057,BLM,197,,,,W. W. WILLIAMS NO. 1,32.0125427,-93.5853426,DE SOTO,LOUISIANA,DE SOTO,,0.1,,1.5,,,0.4,98,,,,,,,,993,GAS ROCK,CRETACEOUS,904,11/30/1913,4/10/1920,,
35058,BLM,198,,,,BELL NO. 3,37.364402,-95.901207,BIG BELL,KANSAS,MONTGOMERY,0.41,0.1,,21.4,,,0.7,72.2,5.1,,,,,,,823,STRAY,,875,,4/2/1920,,
35059,BLM,199,,,,LANTRY NO. 2,37.4082908,-95.9343565,BUXTON,KANSAS,WILSON,0.91,0.2,,22.8,,,1,75.1,,,,,,,,761,STRAY,,316,,4/2/1920,1951,
35060,BLM,200,,,,WHELCHEL NO. 2,37.321108,-95.955347,ELK CITY,KANSAS,MONTGOMERY,0.27,,,3.4,,,0.8,95.5,,,,,,,,967,BARTLESVILLE,PENNSYLVANIAN,1343,00/00/1919,4/2/1920,,
35061,BLM,202,,,,TAAFFE NO. 4,37.288209,-95.453159,CHERRYVALE,KANSAS,LABETTE,0.21,0.2,,2.1,,,0.5,97.9,,,,,,,,992,,,748,00/00/1918,4/14/1920,,
35062,BLM,203,,,,NO. 1 ALLMAN LEASE,37.567525,-95.970592,NEW ALBANY,KANSAS,ELK,0.69,0.2,,23.5,,,0.5,68.4,6.6,,,,,,,811,,PENNSYLVANIAN,495,03/00/1920,4/9/1920,,
35063,BLM,219,,,,HENSICK NO. 1,38.630887,-95.202569,TOY CREEK,KANSAS,FRANKLIN,,0.1,,5.1,,,0.9,93.9,,,,,,,,951,,PENNSYLVANIAN,619,09/00/1919,4/23/1920,,
35064,BLM,220,,,,CARMEAN NO. 2,38.629850,-94.983861,PAOLA-RANTOUL,KANSAS,MIAMI,0.41,,,4.9,,,1,90,3.6,,,,,,,976,,PENNSYLVANIAN,,04/00/1917,4/23/1920,,
35065,BLM,221,,,,SCHROLL NO. 1,38.614760,-94.983420,PAOLA,KANSAS,MIAMI,,0.3,,0.7,,,,98.9,,,,,,,,1002,,PENNSYLVANIAN,515,04/00/1917,4/23/1920,,
35066,BLM,222,,,,DOHERTY NO. 3,38.571384,-94.983287,PAOLA-RANTOUL,KANSAS,MIAMI,0.4,,,5.6,,,0.5,93.4,,,,,,,,946,,PENNSYLVANIAN,460,04/00/1916,4/23/1920,,
35067,BLM,223,,,3510503192,COBB NO. 1,36.683634,-95.72764,CURL CREEK,OKLAHOMA,NOWATA,,1.9,,1,,,0.9,96.1,,,,,,,,973,,PENNSYLVANIAN,557,02/00/1920,4/28/1920,,
35068,BLM,224,,,,NO. 1,42.1990,-107.2020,FERRIS,WYOMING,CARBON,,0.4,,,,,,97.5,2.2,,,,,,,1027,CLOVERLY,CRETACEOUS,17,5/14/1920,4/7/1920,1951,
35069,BLM,226,,,,NO. 1,42.7475,-108.1770,SAND DRAW,WYOMING,FREMONT,,0.1,,,,,13.1,6.9,,,,,,,,70,,,,,3/11/1920,,
35070,BLM,228,,,49013600390000,NO. 2,42.7594639,-108.1800550,SAND DRAW,WYOMING,FREMONT,,0.4,,,,,0.7,94,5.9,,,,,,,1058,FRONTIER,CRETACEOUS,,,3/11/1920,,
35071,BLM,230,,,35105071310000,TAYLOR NO. 5,36.9137649,-95.6060061,CALIFORNIA CREEK,OKLAHOMA,NOWATA,,0.1,,2.7,,,0.7,96.5,,,,,,,,978,,PENNSYLVANIAN,687,00/00/1918,4/29/1920,1951,
35072,BLM,233,,,,HARRIS NO. 1,36.6773146,-95.7285468,CURL CREEK,OKLAHOMA,NOWATA,0.05,,,5.3,,,1.5,80,13.1,,,,,,,1045,,PENNSYLVANIAN,1009,02/00/1920,4/30/1920,,
35073,BLM,234,,,,DICKEY NO. 2,,,,OKLAHOMA,NOWATA,0.09,0.1,,2.6,,,1.1,96.1,,,,,,,,973,,PENNSYLVANIAN,,00/00/1919,4/30/1920,,
35074,BLM,236,,,,CHILDERS NO. 2,36.7352232,-95.5128262,COODYS BLUFF,OKLAHOMA,NOWATA,0.12,0.3,,4.5,,,1.4,57.5,36.1,,,,,,,1229,,PENNSYLVANIAN,525,,5/1/1920,,
